[05:10:07] 1113144  Iteration:0 of 10
[05:10:07] 1113145  Iteration:0 of 10
[05:10:12] 1113144  Iteration:1 of 10
[05:10:15] 1113145  Iteration:1 of 10
[05:10:17] 1113144  Iteration:2 of 10
[05:12:18] 1113209  Iteration:1 of 10
[05:12:18] 1113210  Iteration:1 of 10
[05:12:23] 1113209  Iteration:2 of 10
[05:12:26] 1113210  Iteration:2 of 10
[05:12:28] 1113209  Iteration:3 of 10
[05:12:33] 1113209  Iteration:4 of 10
[05:12:34] 1113210  Iteration:3 of 10
[05:12:38] 1113211  Iteration:1 of 10
[05:12:38] 1113209  Iteration:5 of 10
[05:12:42] 1113211  Iteration:2 of 10
[05:12:42] 1113210  Iteration:4 of 10
[05:12:43] 1113209  Iteration:6 of 10
[05:12:46] 1113211  Iteration:3 of 10
[05:12:48] 1113209  Iteration:7 of 10
[05:12:50] 1113211  Iteration:4 of 10
[05:12:50] 1113210  Iteration:5 of 10
[05:12:53] 1113209  Iteration:8 of 10
[05:12:54] 1113211  Iteration:5 of 10
[05:12:55] 1113212  Iteration:1 of 6
[05:12:58] 1113210  Iteration:6 of 10
[05:12:58] 1113211  Iteration:6 of 10
[05:12:58] 1113209  Iteration:9 of 10
[05:13:02] 1113211  Iteration:7 of 10
[05:13:06] 1113210  Iteration:7 of 10
[05:13:06] 1113211  Iteration:8 of 10
[05:13:08] 1113212  Iteration:2 of 6
[05:13:10] 1113211  Iteration:9 of 10
[05:13:11] 1113213  Iteration:1 of 12
[05:13:12] 1113213  Iteration:2 of 12
[05:13:13] 1113213  Iteration:3 of 12
[05:13:14] 1113213  Iteration:4 of 12
[05:13:14] 1113210  Iteration:8 of 10
[05:13:15] 1113213  Iteration:5 of 12
[05:13:16] 1113213  Iteration:6 of 12
[05:13:17] 1113213  Iteration:7 of 12
[05:13:18] 1113213  Iteration:8 of 12
[05:13:19] 1113213  Iteration:9 of 12
[05:13:20] 1113213  Iteration:10 of 12
[05:13:21] 1113212  Iteration:3 of 6
[05:13:21] 1113213  Iteration:11 of 12
[05:13:22] 1113210  Iteration:9 of 10
[05:13:34] 1113212  Iteration:4 of 6
[05:13:47] 1113212  Iteration:5 of 6
